EDGE_ID,FROM_ID,TO_ID,NAME,PRIORITY,TYPE
-148001565#1,1611100325,1611100155,,2,highway.service
-148001568,1611100117,1611100202,,2,highway.service
-148001569#0,1611100125,1611100297,,2,highway.service
-148001569#1,1611100151,1611100125,,2,highway.service
-148001571,1611100139,1611100151,,2,highway.service
-148001573#0,1611100202,1611100325,,2,highway.service
-148001573#1,1611100152,1611100202,,2,highway.service
-148001578#0,1611100120,1611100139,,2,highway.service
-148001578#1,1611100217,1611100120,,2,highway.service
-148001581,1611100204,1611100233,,2,highway.service
-148001582,1611100155,1611100204,,2,highway.service
-148001583,1611100153,2406296227,,2,highway.service
-148001590#0,1611100134,1611100125,,2,highway.service
-148001590#1,1611100152,1611100134,,2,highway.service
-148001590#2,1611100266,1611100152,,2,highway.service
-148007000#0,1611146928,1611146863,,2,highway.service
-148007000#1,1611146923,1611146928,,2,highway.service
-148007005,1611146846,1611146903,,2,highway.service
-148012003,1611197422,1611197447,,2,highway.service
-148012007,1611197426,1611197386,,2,highway.service
-148012013,1611197404,1611197424,,2,highway.service
-148012014,616067752,1611197356,,2,highway.service
-148012015,1611197420,1611197434,,2,highway.service
-148012016,1611197355,1611197376,,2,highway.service
-148012018,1611197393,62868466,,2,highway.service
-148012019,1611197390,1611197445,,2,highway.service
-148012020,1611197394,1611197377,,2,highway.service
-148012021,1611197423,1611197390,,2,highway.service
-148012025,1611197388,1611197436,,2,highway.service
-148012026,1611197370,1611197436,,2,highway.service
-148012028#0,1611197444,1611197431,,2,highway.service
-148012028#1,1611197424,1611197444,,2,highway.service
-148012028#2,1611197445,1611197424,,2,highway.service
-148012028#3,1611197434,1611197445,,2,highway.service
-148012028#4,1611197377,1611197434,,2,highway.service
-148012028#5,1611197382,1611197377,,2,highway.service
-148012028#6,1611197432,1611197382,,2,highway.service
-148012028#7,1611197411,1611197432,,2,highway.service
-148012028#8,1611197447,1611197411,,2,highway.service
-148012029#0,1611197404,1611197444,,2,highway.service
-148012029#1,1611197390,1611197404,,2,highway.service
-148012029#2,1611197420,1611197390,,2,highway.service
-148012029#3,1611197394,1611197420,,2,highway.service
-148012029#4,1611197356,1611197394,,2,highway.service
-148012029#5,1611197386,1611197356,,2,highway.service
-148012029#6,1611197432,1611197386,,2,highway.service
-148012029#7,1611197403,1611197432,,2,highway.service
-148012031,1611197356,1611197382,,2,highway.service
-148012032,1611197389,1611197403,,2,highway.service
-148012034,1611197436,1611197393,,2,highway.service
-148012035#0,1611197411,1611197389,,2,highway.service
-148012035#1,1611197372,1611197411,,2,highway.service
-148012407,1611201044,1611201006,,2,highway.service
-148012409,1611201029,1611201044,,2,highway.service
-148012413,1611201034,1611201008,,2,highway.service
-148012414,1611201006,1611201034,,2,highway.service
-148013267,1611220638,1611220642,,2,highway.service
-148013268#0,1611220669,1611220638,,2,highway.service
-148013268#1,1611220638,1611220669,,2,highway.service
-148015798,1611253185,1611253095,,2,highway.service
-148015801#0,1611253047,1611253126,,2,highway.service
-148015801#1,1611253164,1611253047,,2,highway.service
-148015801#2,1611252979,1611253164,,2,highway.service
-148015801#3,1611253089,1611252979,,2,highway.service
-148015801#4,1611253266,1611253089,,2,highway.service
-148015802#0,1611253157,1611253077,,2,highway.service
-148015802#1,1599468917,1611253157,,2,highway.service
-148015802#2,1599468913,1599468917,,2,highway.service
-148015802#3,1611253073,1599468913,,2,highway.service
-148015802#4,1611253139,1611253073,,2,highway.service
-148015802#5,1611253026,1611253139,,2,highway.service
-148015802#6,1611253193,1611253026,,2,highway.service
-148015803,1611253171,1611253277,,2,highway.service
-148015806,1611253027,1611253175,,2,highway.service
-148015809,62916673,1611252983,,2,highway.service
-148015814#0,1611253055,1611253275,,2,highway.service
-148015814#1,4895443933,1611253055,,2,highway.service
-148015814#2,1611253128,4895443933,,2,highway.service
-148015814#3,4895443928,1611253128,,2,highway.service
-148015814#4,1611253049,4895443928,,2,highway.service
-148015814#5,1611252989,1611253049,,2,highway.service
-148015814#6,1611253195,1611252989,,2,highway.service
-148015814#7,cluster_1611253151_4895443925,1611253195,,2,highway.service
-148015818#0,62852077,1611253258,,2,highway.service
-148015818#1,62892973,62852077,,2,highway.service
-148015819#0,1611253175,1611253171,,2,highway.service
-148015819#1,1611253126,1611253175,,2,highway.service
-148015819#2,1611252983,1611253126,,2,highway.service
-148015820,1611253183,1611253027,,2,highway.service
-148016394,1611265013,1611264973,,2,highway.service
-148016840#0,1611272416,1611272483,,2,highway.service
-148016840#1,1611272326,1611272416,,2,highway.service
-148016841#0,1611272483,1611272287,,2,highway.service
-148016841#1,1611272364,1611272483,,2,highway.service
-148016842#0,1611272362,62858594,,2,highway.service
-148016842#1,1611272287,1611272362,,2,highway.service
-148016844,1611272434,1611272243,,2,highway.service
-148016848#0,1611272243,1611272181,,2,highway.service
-148016848#1,1611272297,1611272243,,2,highway.service
-148016855#0,1611272359,1611272364,,2,highway.service
-148016855#1,1611272392,1611272359,,2,highway.service
-148016855#2,62858599,1611272392,,2,highway.service
-148016857#0,1611272434,1611272221,,2,highway.service
-148016857#1,cluster_1611272200_62858609,1611272434,,2,highway.service
-148016860#0,1611272318,cluster_1611272200_62858609,,2,highway.service
-148016860#1,1611272324,1611272318,,2,highway.service
-148016860#2,1611272316,1611272324,,2,highway.service
-148017607#0,1611281597,1611281655,,2,highway.service
