JUNCT_ID,X,Y,TYPE
1595639480,4847.74,11504.85,priority
1599403124,6783.57,11857.44,right_before_left
1599403143,6777.63,11840.22,right_before_left
1599403171,6770.34,11819.11,right_before_left
1599403197,6569.75,13019.72,priority
1599403201,6764.40,11801.95,right_before_left
1599403222,6547.81,13019.56,priority
1599403275,6754.55,11773.43,priority
1599403325,6705.06,12772.51,priority
1599403326,6734.23,11898.16,priority
1599403345,6603.12,12997.47,priority
1599403503,6606.85,12972.77,priority
1599403532,6707.10,13017.18,priority
1599403553,6706.92,12763.08,priority
1599403587,6758.00,11783.40,right_before_left
1599440500,6606.62,11916.61,priority
1599440507,6596.97,11884.28,priority
1599461843,5951.24,10314.44,priority
1599461856,6411.76,11261.95,priority
1599461874,6359.44,11234.57,right_before_left
1599461875,5758.57,10031.59,priority
1599461877,6420.11,11234.57,priority
1599461880,6399.74,11234.63,priority
1599461890,6361.05,11263.23,priority
1599461916,5783.65,10014.85,priority
1599461919,6358.92,11214.83,priority
1599465283,5802.61,10042.88,priority
1599465284,5791.03,10025.77,priority
1599465313,5765.59,10042.27,right_before_left
1599465319,5777.26,10060.05,right_before_left
1599468909,5908.90,11390.23,priority
1599468913,6303.13,11976.30,priority
1599468917,6433.52,11977.89,priority
1599470663,6511.13,11800.80,priority
1599470668,6509.96,11683.83,priority
1599470676,6510.54,11742.36,right_before_left
1602805976,4024.59,13973.43,priority
1602805987,4105.65,13853.84,priority
1602806002,4106.72,13609.94,priority
1602839366,4112.66,13244.87,priority
1610892400,4111.99,13191.27,right_before_left
1610892405,4105.51,13155.01,priority
1610892456,4083.28,13169.49,priority
1610892468,4155.67,13191.27,priority
1610892487,4155.96,13297.86,priority
1610892490,4112.60,13297.20,right_before_left
1610892493,4078.69,13137.38,priority
1610892533,4082.48,13155.38,priority
1610892540,4065.89,13063.33,priority
1610892563,4089.76,13137.09,right_before_left
1610892571,4155.96,13088.18,priority
1610892580,4065.67,13095.98,priority
1610892583,4089.15,13095.78,right_before_left
1610952151,4124.76,11923.68,priority
1610952158,4160.98,12977.02,priority
1610952166,4117.20,12840.87,priority
1610952207,4086.60,12727.37,right_before_left
1610952238,4141.76,12989.56,right_before_left
1610952240,4089.77,12990.06,right_before_left
1610952282,4069.57,12747.59,priority
1610952295,4154.21,12989.15,priority
1610952296,4087.32,12686.39,priority
1610952301,4067.03,12930.42,priority
1610952311,4125.59,13022.06,priority
1610952350,4066.47,12991.99,priority
1610952351,4113.62,12727.02,priority
1610952359,4105.25,12685.73,priority
1610952371,4100.33,12726.91,right_before_left
1610952377,4087.55,12747.33,priority
1610952394,4125.10,13011.62,right_before_left
1610952397,4124.05,12294.58,priority
1610952403,4117.90,12746.33,right_before_left
1610952420,4069.80,12727.92,priority
1610952422,4117.42,12929.11,right_before_left
1610952427,4125.00,12990.09,right_before_left
1610952455,4160.87,12988.93,priority
1611003035,4098.63,12219.11,right_before_left
1611003045,4074.44,12219.19,priority
1611003050,4114.14,12219.06,priority
1611050984,4119.12,11963.23,priority
1611050995,4075.51,11944.03,priority
1611050997,4104.61,11968.42,right_before_left
1611051022,4105.70,11923.76,priority
1611051033,4075.26,11978.94,priority
1611051053,4118.58,11942.28,priority
1611051058,4105.23,11943.05,right_before_left
1611100117,4075.76,11602.72,priority
1611100120,4104.91,11542.78,right_before_left
1611100125,4163.86,11485.88,right_before_left
1611100134,4162.94,11543.31,right_before_left
1611100139,4105.02,11534.44,priority
1611100151,4156.98,11485.74,priority
1611100152,4161.82,11613.99,right_before_left
1611100153,4121.15,11722.02,priority
1611100155,4104.40,11579.69,right_before_left
1611100171,4075.74,11619.94,priority
